"全国地方公共団体コード","識別値","種別","名称","住所","郵便番号","緯度","経度","面積（平方メートル）","",""
"23230","","その他広場","岩崎台一丁目公園","愛知県日進市岩崎台一丁目2220-72","4700135","35.14755","137.0186","635","",""
"23230","","その他広場","上小深田公園","愛知県日進市浅田町上小深田3-5","4700124","35.12323","137.0302","1201","",""
"23230","","その他広場","藤塚五丁目公園","愛知県日進市藤塚五丁目18-34","4700117","35.11627","137.0348","510","",""
"23230","","その他広場","新ラ田北公園","愛知県日進市岩崎町新ラ田87-299","4700131","35.14236","137.0333","415.18","",""
"23230","","その他広場","新ラ田南公園","愛知県日進市岩崎町新ラ田85-14","4700131","35.14159","137.0341","125.89","",""
"23230","","その他広場","上小深田東公園","愛知県日進市浅田町上小深田3-101","4700124","35.12247","137.0332","441","",""
"23230","","その他広場","下五反田広場","愛知県日進市米野木町下五反田67-2","4700111","35.13316","137.0698","49","",""
"23230","","その他広場","北高上北公園","愛知県日進市岩崎町北高上10-188","4700131","35.14123","137.0348","250.24","",""
"23230","","その他広場","笠寺山どんぐり公園","愛知県日進市折戸町笠寺山13-74","4700115","35.12762","137.0427","2584.9","",""
"23230","","その他広場","藤塚公園","愛知県日進市藤塚四丁目114","4700117","35.11789","137.0376","982.62","",""
"23230","","その他広場","岩崎台つつじ公園","愛知県日進市岩崎台一丁目1605-9,1618-7","4700135","35.1488","137.0231","220.1","",""
"23230","","その他広場","高松池公園","愛知県日進市折戸町高松52-692","4700115","35.11591","137.0398","297","",""
"23230","","その他広場","浅田上納公園","愛知県日進市浅田町上納25-19","4700124","35.1264","137.0294","276.1","",""
"23230","","その他広場","五色園四丁目広場","愛知県日進市五色園四丁目2905","4700105","35.15376","137.0585","166.96","",""
"23230","","その他広場","石兼西公園","愛知県日進市岩崎町石兼56-724","4700131","35.14595","137.0303","150","",""
"23230","","その他広場","岩崎台つつじ第2公園","愛知県日進市岩崎台一丁目1501-11","4700135","35.14865","137.0228","153","",""
"23230","","その他広場","日進折戸アオーラ","愛知県日進市折戸町孫三ケ入62-1","4700115","35.12024","137.0431","1757","",""
"23230","","その他広場","石兼南公園","愛知県日進市岩崎町石兼56-772","4700131","35.14318","137.0308","250","",""
"23230","","その他広場","浅田平池公園","愛知県日進市浅田町平池228","4700124","35.1267","137.0252","360","",""
"23230","","その他広場","西ノ平北公園","愛知県日進市岩崎町西ノ平2-17","4700131","35.14471","137.0346","372","",""
"23230","","その他広場","箕ノ手南公園","愛知県日進市赤池町箕ノ手2-2320、2-2341、2-2342","4700126","35.11067","137.0222","232","",""
"23230","","その他広場","箕ノ手北公園","愛知県日進市赤池町箕ノ手2-2432","4700126","35.11613","137.0211","303","",""
